2026-02-09 03:16:27 +0100: Memory Usage (422080K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_03-13-23/57-magic-streamout/heichips25_pudding.gds
2026-02-09 03:16:27 +0100: Memory Usage (422080K) : Ruby Version for klayout: 3.3.10
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : Loading database to memory is complete.
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_03-13-23/64-klayout-drc/reports/drc.klayout.lyrdb
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : Evaluate switches.
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : tables selected: main
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : KLayout will use 8 thread(s) in tiling mode.
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : deep mode is enabled.
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : FEOL enabled: true
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : BEOL enabled: true
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : OFFGRID enabled: true
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : PIN enabled: true
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : FORBIDDEN enabled: true
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : RECOMMENDED enabled: false
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : PreCheck DRC enabled: false
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : CONNECTIVITY_RULES enabled: true.
2026-02-09 03:16:27 +0100: Memory Usage (426160K) : Read in polygons from layers.
2026-02-09 03:16:27 +0100: Memory Usage (428000K) : activ_drw has 32059 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428256K) : activ_pin has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428256K) : activ_mask has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428384K) : activ_filler has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428384K) : activ_nofill has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428512K) : activ_opc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428512K) : activ_iopc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428640K) : activ_noqrc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428896K) : biwind_drw has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (428896K) : biwind_opc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : pemwind_drw has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_drw has 23957 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_pin has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_filler has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_nofill has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_opc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_iopc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : gatpoly_noqrc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : cont_drw has 218610 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429024K) : cont_opc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429152K) : nsd_drw has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429152K) : nsd_block has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429280K) : metal1_drw has 37151 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429408K) : metal1_pin has 17899 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429408K) : metal1_mask has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429536K) : metal1_filler has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429664K) : metal1_nofill has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429664K) : metal1_slit has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429840K) : metal1_text has 17504 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429968K) : metal1_opc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (429968K) : metal1_noqrc has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (430096K) : metal1_res has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (430224K) : metal1_iprobe has 0 polygons
2026-02-09 03:16:27 +0100: Memory Usage (430224K) : metal1_diffprb has 0 polygons
