# Logfile created on 2026-02-11 01:04:06 +0100 by logger.rb/v1.6.0
2026-02-11 01:04:06 +0100: Memory Usage (434152K) : psd_drw has 15584 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434152K) : nldb_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434280K) : digibnd_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434408K) : via1_drw has 14831 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434792K) : backmetal1_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434792K) : backmetal1_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434792K) : backmetal1_mask has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434792K) : backmetal1_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434792K) : backmetal1_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434920K) : backmetal1_slit has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (434920K) : backmetal1_text has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435048K) : backmetal1_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435048K) : backmetal1_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435176K) : backmetal1_res has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435176K) : backmetal1_iprobe has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435304K) : backmetal1_diffprb has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435304K) : backpassiv_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435432K) : res_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435432K) : sram_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435560K) : trans_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435560K) : ind_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435688K) : ind_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435688K) : ind_text has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (435816K) : salblock_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436072K) : via2_drw has 12950 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436328K) : metal3_drw has 10506 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436712K) : metal3_pin has 1135 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436712K) : metal3_mask has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436712K) : metal3_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436712K) : metal3_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436712K) : metal3_slit has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436840K) : metal3_text has 1319 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436968K) : metal3_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (436968K) : metal3_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437096K) : metal3_res has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437096K) : metal3_iprobe has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437224K) : metal3_diffprb has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437224K) : nwell_drw has 8325 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437352K) : nwell_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437480K) : nbulay_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437480K) : nbulay_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437608K) : nbulay_block has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437608K) : emwind_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437736K) : emwind_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437736K) : deepco_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437864K) : deepco_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437864K) : mim_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437992K) : edgeseal_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (437992K) : edgeseal_bound has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438120K) : substrate_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438120K) : substrate_text has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438248K) : dfpad_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438248K) : dfpad_pillar has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438376K) : dfpad_sbump has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438376K) : thickgateox_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438504K) : pldb_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438504K) : pwell_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438632K) : pwell_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438632K) : pwell_block has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438760K) : ic_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (438888K) : via3_drw has 8460 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439016K) : metal4_drw has 3128 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439144K) : metal4_pin has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439272K) : metal4_mask has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439272K) : metal4_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439400K) : metal4_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439400K) : metal4_slit has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439528K) : metal4_text has 44 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439528K) : metal4_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439656K) : metal4_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439656K) : metal4_res has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439784K) : metal4_iprobe has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439784K) : metal4_diffprb has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439912K) : heattrans_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (439912K) : heatres_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440040K) : pempoly_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440040K) : fbe_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440168K) : empoly_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440168K) : ldmos_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440296K) : pbiwind_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440296K) : digisub_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440424K) : nodrc_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440424K) : text_drw has 122 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440680K) : via4_drw has 10010 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440808K) : metal5_drw has 1695 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440808K) : metal5_pin has 4 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440936K) : metal5_mask has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (440936K) : metal5_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441064K) : metal5_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441064K) : metal5_slit has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441192K) : metal5_text has 13 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441192K) : metal5_opc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441320K) : metal5_noqrc has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441320K) : metal5_res has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441320K) : metal5_iprobe has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : metal5_diffprb has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : radhard_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : memcap_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : varicap_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : flash_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : intbondvia_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : intbondmet_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : devbondvia_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : devbondmet_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : devtrench_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : redist_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : graphbot_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : graphtop_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : antvia1_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : antmetal2_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : graphcont_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : siwg_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : siwg_filler has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : siwg_nofill has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : sigrating_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : singrating_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : graphpas_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : emwind3_drw has 0 polygons
2026-02-11 01:04:06 +0100: Memory Usage (441448K) : emwihv3_drw has 0 polygons
