# Logfile created on 2026-02-09 02:45:52 +0100 by logger.rb/v1.6.0
2026-02-09 02:45:52 +0100: Memory Usage (427480K) : psd_drw has 533 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427480K) : nldb_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427480K) : digibnd_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427480K) : via1_drw has 1900 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427480K) : backmetal1_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427608K) : backmetal1_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427608K) : backmetal1_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427736K) : backmetal1_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427736K) : backmetal1_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427864K) : backmetal1_slit has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427864K) : backmetal1_text has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427992K) : backmetal1_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (427992K) : backmetal1_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428120K) : backmetal1_res has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428120K) : backmetal1_iprobe has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428248K) : backmetal1_diffprb has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428248K) : backpassiv_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428376K) : res_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428376K) : sram_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428504K) : trans_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428504K) : ind_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428632K) : ind_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428632K) : ind_text has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428760K) : salblock_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428760K) : via2_drw has 668 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428888K) : metal3_drw has 1098 polygons
2026-02-09 02:45:52 +0100: Memory Usage (428888K) : metal3_pin has 546 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429016K) : metal3_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429016K) : metal3_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429144K) : metal3_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429144K) : metal3_slit has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429144K) : metal3_text has 414 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429272K) : metal3_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429272K) : metal3_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429400K) : metal3_res has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429400K) : metal3_iprobe has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429528K) : metal3_diffprb has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429784K) : nwell_drw has 533 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : nwell_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : nbulay_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : nbulay_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : nbulay_block has 0 polygons
