2026-02-09 14:00:04 +0100: Memory Usage (433616K) : psd_drw has 14524 polygons
2026-02-09 14:00:04 +0100: Memory Usage (433616K) : nldb_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (433744K) : digibnd_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (433872K) : via1_drw has 14868 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434256K) : backmetal1_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434256K) : backmetal1_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434256K) : backmetal1_mask has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434256K) : backmetal1_filler has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434256K) : backmetal1_nofill has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434384K) : backmetal1_slit has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434384K) : backmetal1_text has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434512K) : backmetal1_opc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434512K) : backmetal1_noqrc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434640K) : backmetal1_res has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434640K) : backmetal1_iprobe has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434768K) : backmetal1_diffprb has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434768K) : backpassiv_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434896K) : res_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (434896K) : sram_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435024K) : trans_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435024K) : ind_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435152K) : ind_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435152K) : ind_text has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435280K) : salblock_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435536K) : via2_drw has 13253 polygons
2026-02-09 14:00:04 +0100: Memory Usage (435792K) : metal3_drw has 11310 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436176K) : metal3_pin has 1135 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436176K) : metal3_mask has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436176K) : metal3_filler has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436176K) : metal3_nofill has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436176K) : metal3_slit has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436304K) : metal3_text has 1307 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436432K) : metal3_opc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436432K) : metal3_noqrc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436560K) : metal3_res has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436560K) : metal3_iprobe has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436688K) : metal3_diffprb has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436688K) : nwell_drw has 7795 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436816K) : nwell_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436816K) : nbulay_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436944K) : nbulay_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (436944K) : nbulay_block has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437072K) : emwind_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437200K) : emwind_opc has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437200K) : deepco_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437328K) : deepco_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437328K) : mim_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437456K) : edgeseal_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437456K) : edgeseal_bound has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437584K) : substrate_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437584K) : substrate_text has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437712K) : dfpad_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437712K) : dfpad_pillar has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437840K) : dfpad_sbump has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437840K) : thickgateox_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437968K) : pldb_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (437968K) : pwell_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438096K) : pwell_pin has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438096K) : pwell_block has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438224K) : ic_drw has 0 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438352K) : via3_drw has 8601 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438480K) : metal4_drw has 3763 polygons
2026-02-09 14:00:04 +0100: Memory Usage (438608K) : metal4_pin has 0 polygons
