2026-02-09 01:37:16 +0100: Memory Usage (422044K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_01-34-10/57-magic-streamout/heichips25_pudding.gds
2026-02-09 01:37:16 +0100: Memory Usage (422044K) : Ruby Version for klayout: 3.3.10
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : Loading database to memory is complete.
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-09_01-34-10/64-klayout-drc/reports/drc.klayout.lyrdb
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : Evaluate switches.
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : tables selected: main
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : KLayout will use 8 thread(s) in tiling mode.
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : deep mode is enabled.
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : FEOL enabled: true
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : BEOL enabled: true
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : OFFGRID enabled: true
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : PIN enabled: true
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : FORBIDDEN enabled: true
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : RECOMMENDED enabled: false
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : PreCheck DRC enabled: false
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : CONNECTIVITY_RULES enabled: true.
2026-02-09 01:37:16 +0100: Memory Usage (426120K) : Read in polygons from layers.
2026-02-09 01:37:16 +0100: Memory Usage (427892K) : activ_drw has 32059 polygons
2026-02-09 01:37:16 +0100: Memory Usage (428148K) : activ_pin has 0 polygons
2026-02-09 01:37:16 +0100: Memory Usage (428148K) : activ_mask has 0 polygons
