Metric,Value
route__wirelength__iter:4,56811
route__drc_errors,0
route__wirelength,56811
route__vias,10643
route__vias__singlecut,10643
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,678.53
design__instance__count__class:fill_cell,5713
design__instance__area__class:fill_cell,62159.5
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,291
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,291
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,291
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,291
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19624
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19993
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0037601
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000892404
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000175447
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000892404
design_powergrid__voltage__worst,0.000892404
design_powergrid__voltage__worst__net:VPWR,1.19624
design_powergrid__drop__worst,0.0037601
design_powergrid__drop__worst__net:VPWR,0.0037601
design_powergrid__voltage__worst__net:VGND,0.000892404
design_powergrid__drop__worst__net:VGND,0.000892404
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000067199999999999993570941325682355227399966679513454437255859375
ir__drop__worst,0.0037599999999999998874511408786247557145543396472930908203125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
