# Logfile created on 2026-02-09 03:05:20 +0100 by logger.rb/v1.6.0
2026-02-09 03:05:20 +0100: Memory Usage (429396K) : metal3_diffprb has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429524K) : nwell_drw has 533 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : nwell_pin has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : nbulay_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : nbulay_pin has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : nbulay_block has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : emwind_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429780K) : emwind_opc has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429908K) : deepco_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429908K) : deepco_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (429908K) : mim_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430036K) : edgeseal_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430036K) : edgeseal_bound has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430164K) : substrate_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430164K) : substrate_text has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430292K) : dfpad_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430292K) : dfpad_pillar has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430420K) : dfpad_sbump has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430420K) : thickgateox_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430548K) : pldb_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430548K) : pwell_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430676K) : pwell_pin has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430676K) : pwell_block has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430804K) : ic_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430804K) : via3_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430932K) : metal4_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (430932K) : metal4_pin has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431060K) : metal4_mask has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431060K) : metal4_filler has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431188K) : metal4_nofill has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431188K) : metal4_slit has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431316K) : metal4_text has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431316K) : metal4_opc has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431444K) : metal4_noqrc has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431444K) : metal4_res has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431572K) : metal4_iprobe has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431572K) : metal4_diffprb has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431700K) : heattrans_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431700K) : heatres_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431828K) : pempoly_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431828K) : fbe_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431956K) : empoly_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (431956K) : ldmos_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432084K) : pbiwind_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432084K) : digisub_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432212K) : nodrc_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432212K) : text_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432340K) : via4_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432340K) : metal5_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432468K) : metal5_pin has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432468K) : metal5_mask has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432596K) : metal5_filler has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432596K) : metal5_nofill has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432724K) : metal5_slit has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432724K) : metal5_text has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432852K) : metal5_opc has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432852K) : metal5_noqrc has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432980K) : metal5_res has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (432980K) : metal5_iprobe has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (433108K) : metal5_diffprb has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (433108K) : radhard_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (433236K) : memcap_drw has 0 polygons
2026-02-09 03:05:20 +0100: Memory Usage (433236K) : varicap_drw has 0 polygons
